commit	val_loss	memory_gb	status	description
db49d80	0.639680	3.6376	1.34	keep	dropout 0.196->0.35: marginal improvement, prox_rca 0.889
# --- FFR HYPEREMIA EXPERIMENTS (below) ---
# commit	mean_val_auc	val_loss	memory_gb	status	description
21619de	0.703200	3.7791	1.34	keep	FFR baseline: 17 binary heads, bce_logit, 15 epochs, best IFR hyperparams. mid_lad 0.607, prox_lad 0.716
71bc38c	0.744000	3.7529	1.34	keep	epochs 15->8: mean_auc +0.041, val_loss improved. mid_lad 0.599, prox_rca 0.635
ba09978	0.738100	3.8223	1.34	discard	head_lr 3e-4->1e-3: worse val_loss and mean_auc, higher LR not helpful
exp3	0.586200	3.6001	1.34	discard	seed 314->42: worse mean_auc (D1=0, pda=0), lower val_loss but lower AUCs
exp4	0.740500	3.7415	1.34	discard	dropout 0.35->0.2: marginal worse (-0.004), less regularization not helpful
exp5	0.742700	3.7539	20.18	discard	unfreeze 50%: same mean_auc but 15x memory (20GB vs 1.3GB), not worth it
exp6	0.621800	3.9499	1.34	discard	attention_hidden 128->256: worse mean_auc, D1=0, dist_rca=0.75 dropped
exp7	0.731100	5.9802	1.34	discard	upweight mid_lad 3x, prox_lad 2x: worse mean_auc, distorts loss landscape
exp8	0.713200	3.7625	1.34	discard	warmup 0.2->0.35: worse mean_auc, slower ramp-up hurts
exp9	0.656300	4.9105	2.41	discard	batch_size 12->24: worse mean_auc, sparse heads worse with larger batches
exp10	0.744000	3.7529	1.34	discard	head_dropout 0.2->0.0: identical, no effect (single linear layer)
exp11	0.710500	3.7244	1.34	discard	attention_lr 5x, dropout_attention 0.24->0.1: worse mean_auc despite better val_loss
f90eb9e	0.822900	3.7840	1.87	keep	num_videos 10->15: NEW BEST! D1=1.0, mid_rca=1.0, prox_lcx=0.692. mid_lad=0.582
exp13	0.716300	3.5831	2.41	discard	num_videos 15->20: worse mean_auc, pda=0.0, prox_rca dropped
exp14	0.822900	3.7840	1.87	discard	attention_heads 6->8: identical to KEEP, no effect
exp15	0.599300	3.5908	1.87	discard	seed 314->999: much worse, pda=0.0, om2=0.5, prox_rca=0.385
exp16	0.685800	3.7615	1.87	discard	rand_augment false: worse mean_auc, pda=0.0, augmentation clearly helps
exp17	0.820700	3.7926	1.87	discard	dropout 0.35->0.5: marginal worse (-0.002), more dropout not helpful
exp18	0.747600	3.6550	1.87	discard	epochs 8->4: worse warmup dynamics, mid_lad dropped 0.582->0.560
exp19	0.822900	3.7840	1.87	discard	normalization_strategy pre_norm->post_norm: identical epoch 0 AUC, saved model worse
exp20	0.706000	3.5624	1.87	discard	warmup 0.2->0.05: worse mean_auc (0.706), fast LR ramp destabilizes early training
exp21	0.548400	3.5071	1.87	discard	per_video_pool false->true: much worse (0.548), many heads at chance level
exp22	0.000000	0.0000	1.54	crash	aggregator_depth 1->2: state_dict mismatch, pretrained checkpoint has depth=1
exp23	0.628600	3.6696	1.87	discard	seed 314->1337: much worse (0.629), D1=0 pda=0
exp24	0.725900	3.5013	1.87	discard	dropout_attention 0.24->0.5: worse (0.726), too much attention regularization
exp25	0.820500	3.7842	1.87	discard	attention_lr 8e-5->3e-4: marginal worse (0.821 vs 0.823)
exp26	0.822900	3.7840	1.87	discard	use_cls_token true->false: identical result (0.823)
exp27	0.821200	3.7552	1.87	discard	head_lr 3e-4->1e-4 with 15 videos: identical result (0.821)
exp28	0.823100	3.7882	8.60	discard	video_freeze_ratio 0.0->0.15: identical AUC (0.823) but 4.6x more memory (8.6GB)
exp29	0.487500	4.0533	1.86	discard	pooling_mode attention+cls_token->mean: much worse (0.488), attention IS needed
exp30	0.778100	3.7912	1.87	discard	stride 1->2: worse (0.778), pda dropped from 1.0 to 0.5
exp31	0.752200	3.7052	1.87	discard	warmup 0.2->0.15: worse (0.752), om2 and pda dropped
exp32	0.822900	3.7840	1.87	discard	hard_restarts 3->5: identical (0.823), scheduler only affects later epochs
exp33	0.818400	3.7576	1.87	discard	dropout 0.35->0.1: slightly worse (0.818), mid_rca dropped
exp34	0.667800	2.9488	1.34	discard	batch_size 12->8: much worse (0.668), unstable sparse heads
exp35	0.752100	4.3548	2.41	discard	batch_size 12->16: worse epoch 0 mean_auc (0.752), D1 dropped 1.0->0.5
exp36	0.813200	3.5315	8.60	discard	freeze_ratio 0.0->0.15 + encoder_lr 1e-6 + epochs 12: epoch 0=0.813 worse, fine-tuning degraded later epochs
exp37	0.756900	3.9136	1.87	discard	epochs 8->1: shorter warmup destabilized sparse heads, pda=0.5, mid_rca=0.833
exp38	0.550700	0.0000	1.87	discard	aggregate_videos_tokens true: much worse (0.551), D1=0, left_main=0.31, killed early
exp39	0.731600	0.0000	1.87	discard	train_pooling_params false: worse (0.732), frozen pooling can't adapt to FFR
exp40	0.713900	0.0000	1.87	discard	num_videos 15->18: worse (0.714), more padding hurts, prox_rca=0.385
exp47	0.822300	3.7658	1.87	discard	dropout 0.35->0.25: epoch 0=0.822 nearly identical to KEEP, later epochs degraded
exp60	0.000000	0.0000	0.00	crash	batch_size 12->10: NCCL/TCPStore crash, no epochs completed
exp61	0.684400	3.7178	1.87	discard	attention_across_lr 1.93e-4->5e-4: worse epoch 0 (0.764), D1 crashed to 0
exp62	0.608300	3.4856	1.87	discard	attention_across_lr 1.93e-4->5e-5: much worse (0.689 epoch 0), prox_lcx crashed
exp63	0.584100	3.7841	1.87	discard	attention_across_wd 1.1e-5->1e-3: epoch 0 identical (0.823) but later epochs degraded
exp64	0.822900	3.7840	1.87	discard	attention_weight_decay 1.4e-6->1e-4: identical epoch 0 (0.823), killed early
exp65	0.823100	3.7840	1.87	discard	per-head LR mid_lad 5e-4 prox_lad 4e-4: identical epoch 0 (0.823)
exp66	0.000000	0.0000	0.00	crash	resize 224->192: shape mismatch, MViT requires 224x224
exp67	0.826900	3.7844	1.87	discard	attention_lr 8.08e-5->3e-5: epoch 0 slightly better (0.827 vs 0.823) but within noise
exp68	0.827200	3.7840	1.87	discard	attention_lr 8.08e-5->5e-5: epoch 0=0.827 (+0.004), marginal noise
exp69	0.827200	3.7840	1.87	discard	attention_lr 8.08e-5->1e-5: epoch 0=0.827, same as 3e-5 and 5e-5
exp70	0.826500	3.7840	1.87	discard	attention_lr 3e-5 + dropout 0.3: epoch 0=0.827, no additive benefit
exp71	0.828700	3.8123	1.87	keep	head_lr 3e-4->5e-4: NEW BEST epoch 0 mean_auc=0.829, prox_rca 0.654
exp72	0.828700	3.7840	1.87	discard	head_lr 5e-4 + attention_lr 3e-5: identical to exp71 (0.829), no additive effect
exp73	0.774600	3.7840	1.87	discard	head_lr 5e-4->7e-4: worse (0.775), pda dropped to 0.5, too aggressive
exp74	0.824400	3.7840	1.87	discard	head_lr 5e-4->6e-4: worse (0.824), mid_rca dropped to 0.958
exp75	0.826900	3.7840	1.87	discard	head_lr 5e-4->4e-4: slightly worse (0.827 vs 0.829)
exp76	0.828900	3.7840	1.87	discard	head_lr 5e-4->5.5e-4: identical to KEEP (0.829)
exp77	0.820000	3.7840	1.87	discard	dropout_attention 0.241->0.2: worse (0.820), prox_lcx and prox_rca dropped
exp78	0.823700	3.7840	1.87	discard	dropout_attention 0.241->0.3: worse (0.824), left_main dropped
exp79	0.828700	3.7840	1.87	discard	head_dropout 0.2->0.1: identical (0.829), head dropout has no effect
exp80	0.693600	3.7840	1.87	discard	batch_size 12->10 (with head_lr 5e-4): much worse (0.694), pda=0, sparse heads unstable
exp81	0.759900	3.7840	1.87	discard	epochs 8->4: faster warmup hurt (0.760), pda/om2/prox_rca dropped
exp82	0.584900	3.8123	1.87	keep	W&B baseline: frozen, epochs=8, head_lr=5e-4 (champion config). mid_lad=0.522, prox_lad=0.660
exp83	0.530300	3.5077	1.87	discard	frozen epochs 8->20: timed out at 15/20, overfitting, mean_auc worse (0.530 vs 0.585)
exp84	0.583100	3.8164	0.45	discard	unfreeze 20% (freeze_ratio 0.0->0.2): identical to frozen (0.583 vs 0.585), no improvement
exp85	0.535700	3.5081	N/A	discard	unfreeze 20% + epochs 20 + encoder_lr 1e-6: timed out, overfitting (0.536 vs 0.585)
exp86	0.582100	3.8025	0.45	discard	unfreeze 20% + encoder_lr 5e-5: val_loss improved (3.80 vs 3.81) but AUC same (0.582), prox_lcx dropped
exp87	0.000000	0.0000	20.67	crash	unfreeze 10% + encoder_lr 1e-5: LayerNorm backward crash — freeze boundary splits LayerNorm block params
exp88	0.575500	3.5827	0.36	discard	unfreeze 20% + encoder_lr 1e-5 + grad_accum 2 + 12ep: mid_lad 0.590 prox_lad 0.711 improved but overall AUC 0.575 < 0.585
exp89	0.633100	3.5676	1.87	keep	seed 314->777: NEW BEST! pda=0.5 (was 0), prox_lad=0.747, prox_rca=0.673. Seed has huge impact.
exp90	0.633200	3.5684	0.45	discard	unfreeze 20% + seed 777: identical to frozen (0.633), confirms unfreezing has no effect
